Timestamp,study_id,pesticide_target_class ,pesticide_chemical_class,pesticide_investigated ,pesticide_interaction,pesticide_interaction_with_pesticide,pesticide_interaction_with_other,pesticide_comment
01/02/2023 14:30,s_044,"insecticide, herbicide","organophosphate, chlorophenoxy, benzoic acid esters","glyphosate, 2,4-D, methylbenzoate ",No,NA,NA,
01/02/2023 14:37,s_045,insecticide,pyrethroid ,deltamethrin ,NA,NA,NA,
,s_046,insecticide,pyrethroid,permethrin,NA,NA,NA,
,s_047,insecticide,"phenylpyrazole, pyridine","firpronil, pyriproxyfen",Yes,mixture of firponil and pyriproxyfen,,
,s_048,insecticide,pyrethroid ,deltamethrin ,Yes ,NA,mixture of deltamethrin and lead ,
03/02/2023 13:46,s_049,fungicide,aminopyrimidine,pyrimethanil,NA,NA,NA,
03/02/2023 14:07,s_050,insecticide,pyrethroid ,"deltamethrin, atrazine ",No,NA,NA,
03/02/2023 14:21,s_051,insecticide,neonicotinoid ,imidacloprid,NA,NA,NA,
03/02/2023 14:29,s_052,insecticide,"carbamate, pyrethroid ","cypermethrin, methomyl ",No,NA,NA,
,s_053,insecticide,organophosphate ,glyphosate,NA,NA,NA,
06/02/2023 14:02,s_054,fungicide,aminopyrimidine,cyprodinil,NA,NA,NA,
07/02/2023 9:25,s_055,insecticide,pyrethroid ,deltamethrin,NA,NA,NA,
07/02/2023 9:35,s_056,herbicide,triazine ,atrazine ,NA,NA,NA,
07/02/2023 9:41,s_057,insecticide,organophosphate,diazinon,NA,NA,NA,
,s_058,insecticide,pyrethroid ,deltamethrin,NA,NA,NA,
07/02/2023 10:01,s_059,insecticide,pyrethroid ,deltamethrin ,Yes,NA,mixture of deltamethrin and cadmium ,
07/02/2023 10:12,s_060,insecticide,organochlorine,dieldrin ,NA,NA,NA,
07/02/2023 10:19,s_061,"insecticide, piscicide",rotenones,rotenone,NA,NA,NA,
07/02/2023 10:30,s_062,insecticide,carbamate,carbofuran ,NA,NA,NA,
,s_063,"insecticide, piscicide",rotenones,rotenone,NA,NA,NA,
07/02/2023 11:03,s_064,"insecticide, herbicide, piscicide","organophosphate, rotenones ","rotenone, paraquat",No,NA,NA,
07/02/2023 11:10,s_065,herbicide,triazine,atrazine ,NA,NA,NA,
07/02/2023 11:15,s_066,insecticide,organophosphate,diazinon,NA,NA,NA,
07/02/2023 11:25,s_067,insecticide,organophosphate,chlorpyrifos,NA,NA,NA,
07/02/2023 11:33,s_068,fungicide,triazole,triadimefon,NA,NA,NA,
,s_069,"insecticide, herbicide",rotenones,rotenone ,NA,NA,NA,
07/02/2023 11:38,s_070,herbicide,triazine ,atrazine ,NA,NA,NA,
07/02/2023 11:44,s_071,herbicide,organophosphate,paraquat,NA,NA,NA,
07/02/2023 11:51,s_072,insecticide,organohalogen,broflanilide ,NA,NA,NA,
08/02/2023 9:31,s_073,herbicide,triazine ,terbutylazine,NA,NA,NA,
08/02/2023 9:42,s_074,insecticide,inorganic ionic compound,sodium fluoride ,NA,NA,NA,
08/02/2023 10:12,s_075,"insecticide, herbicide","phenylpyrazole, chlorophenoxy","fipronil, 2,4-D",Yes,NA,interaction with temperature ,
,s_076,fungicide,imidazole,prochloraz,NA,NA,NA,
08/02/2023 10:32,s_077,insecticide,organophosphate,parathion,NA,NA,NA,
08/02/2023 10:41,s_078,insecticide,pyrethroid ,deltamethrin ,NA,NA,NA,
08/02/2023 10:50,s_079,"insecticide, piscicide ",rotenones ,rotenone ,NA,NA,NA,
08/02/2023 13:06,s_080,fungicide,trialkyltins,tributyltin,NA,NA,NA,
,s_081,insecticide,organophosphate,chlorpyrifos,NA,NA,NA,
,s_082,insecticide,"organophosphate, pyrethroid, organochlorine","chlorpyrifos, permethrin, dieldrin ",No,NA,NA,
,s_083,"insecticide, fungicide",organophosphate,"chlorpyrifos, glyphosate, chlorothalonil",Yes,"mixtures between chlorpyrifos, glyphosate and chlorothalonil",NA,
